IMG_Index;Label;Repetition;Seed;#Iterations_Att;#Iterations_att_adaptive;#Iterations_Normal;#Iterations_Normal_adaptive;Winner Method;;;;;
64;5;1;4398;NA;NA;NA;NA;;;0;0;1;0
64;5;2;980;NA;NA;NA;NA;;;0;0;1;0
64;5;3;987423;NA;NA;NA;NA;;;0;0;1;0
64;5;4;99982;NA;485;NA;NA;Heatmaps adaptive;;1;0;0;0
64;5;5;1123;NA;NA;NA;NA;;;0;0;1;0
65;4;1;4398;NA;NA;NA;NA;;;0;0;1;0
65;4;2;980;NA;NA;NA;NA;;;0;0;1;0
65;4;3;987423;NA;405;NA;NA;Heatmaps adaptive;;1;0;0;0
65;4;4;99982;NA;NA;NA;NA;;;0;0;1;0
65;4;5;1123;NA;NA;NA;NA;;;0;0;1;0
66;3;1;4398;79;68;234;224;Heatmaps adaptive;;0;0;0;1
66;3;2;980;78;46;213;253;Heatmaps adaptive;;0;0;0;1
66;3;3;987423;89;119;184;192;Heatmaps;;0;0;0;1
66;3;4;99982;94;81;194;176;Heatmaps adaptive;;0;0;0;1
66;3;5;1123;108;108;204;220;Heatmaps;;0;0;0;1
67;2;1;4398;NA;347;NA;NA;Heatmaps adaptive;;1;0;0;0
67;2;2;980;NA;NA;NA;NA;;;0;0;1;0
67;2;3;987423;NA;NA;NA;NA;;;0;0;1;0
67;2;4;99982;NA;322;NA;NA;Heatmaps adaptive;;1;0;0;0
67;2;5;1123;NA;355;NA;NA;Heatmaps adaptive;;1;0;0;0
68;1;1;4398;NA;NA;NA;NA;;;0;0;1;0
68;1;2;980;NA;NA;NA;NA;;;0;0;1;0
68;1;3;987423;NA;NA;NA;NA;;;0;0;1;0
68;1;4;99982;NA;NA;NA;NA;;;0;0;1;0
68;1;5;1123;NA;NA;NA;NA;;;0;0;1;0
69;0;1;4398;NA;NA;NA;NA;;;0;0;1;0
69;0;2;980;NA;343;NA;NA;Heatmaps adaptive;;1;0;0;0
69;0;3;987423;NA;NA;NA;NA;;;0;0;1;0
69;0;4;99982;NA;387;NA;NA;Heatmaps adaptive;;1;0;0;0
69;0;5;1123;NA;NA;NA;NA;;;0;0;1;0
70;9;1;4398;NA;393;NA;NA;Heatmaps adaptive;;1;0;0;0
70;9;2;980;217;456;NA;NA;Heatmaps;;1;0;0;0
70;9;3;987423;NA;287;NA;NA;Heatmaps adaptive;;1;0;0;0
70;9;4;99982;NA;302;NA;NA;Heatmaps adaptive;;1;0;0;0
70;9;5;1123;NA;399;NA;NA;Heatmaps adaptive;;1;0;0;0
71;8;1;4398;NA;380;NA;NA;Heatmaps adaptive;;1;0;0;0
71;8;2;980;NA;321;NA;NA;Heatmaps adaptive;;1;0;0;0
71;8;3;987423;NA;356;NA;488;Heatmaps adaptive;;0;0;0;1
71;8;4;99982;NA;397;NA;NA;Heatmaps adaptive;;1;0;0;0
71;8;5;1123;NA;393;NA;NA;Heatmaps adaptive;;1;0;0;0
72;7;1;4398;NA;NA;NA;NA;;;0;0;1;0
72;7;2;980;NA;NA;NA;NA;;;0;0;1;0
72;7;3;987423;NA;NA;NA;NA;;;0;0;1;0
72;7;4;99982;NA;323;NA;NA;Heatmaps adaptive;;1;0;0;0
72;7;5;1123;NA;NA;NA;NA;;;0;0;1;0
73;6;1;4398;NA;NA;NA;NA;;;0;0;1;0
73;6;2;980;NA;NA;NA;NA;;;0;0;1;0
73;6;3;987423;NA;NA;NA;NA;;;0;0;1;0
73;6;4;99982;NA;NA;NA;NA;;;0;0;1;0
73;6;5;1123;NA;NA;NA;NA;;;0;0;1;0
74;5;1;4398;NA;NA;NA;NA;;;0;0;1;0
74;5;2;980;NA;429;NA;NA;Heatmaps adaptive;;1;0;0;0
74;5;3;987423;NA;467;NA;NA;Heatmaps adaptive;;1;0;0;0
74;5;4;99982;NA;358;NA;NA;Heatmaps adaptive;;1;0;0;0
74;5;5;1123;NA;305;NA;NA;Heatmaps adaptive;;1;0;0;0
75;4;1;4398;NA;NA;NA;NA;;;0;0;1;0
75;4;2;980;NA;486;NA;NA;Heatmaps adaptive;;1;0;0;0
75;4;3;987423;NA;NA;NA;NA;;;0;0;1;0
75;4;4;99982;NA;500;NA;NA;Heatmaps adaptive;;1;0;0;0
75;4;5;1123;NA;NA;NA;NA;;;0;0;1;0
76;3;1;4398;NA;NA;NA;NA;;;0;0;1;0
76;3;2;980;NA;NA;NA;NA;;;0;0;1;0
76;3;3;987423;NA;NA;NA;NA;;;0;0;1;0
76;3;4;99982;NA;NA;NA;NA;;;0;0;1;0
76;3;5;1123;NA;NA;NA;NA;;;0;0;1;0
77;2;1;4398;NA;NA;NA;363;Normal Adaptive;;0;1;0;0
77;2;2;980;NA;NA;NA;380;Normal Adaptive;;0;1;0;0
77;2;3;987423;NA;NA;NA;393;Normal Adaptive;;0;1;0;0
